Montycloud DAY2 Well-Architected Assessment Report (Confidential),,,,,,,,,,,,
,,,,,,,,,,,,
Report generated by,daniel.perez6789@gmail.com,,,,,,,,,,,
Report generated at,08 Jul 2024 16:00:35 UTC,,,,,,,,,,,
Workload Name,Test Customer Non-Prod June 2024,,,,,,,,,,,
Review Owner,Daniel Perez,,,,,,,,,,,
Improvement Status,NOT_APPLICABLE,,,,,,,,,,,
,,,,,,,,,,,,
Serial number,Pillar,Severity,Status,Resource ID,Resource Name,Resource Type,Question,Check Title,Check Description,Account Name,Account ID,Region
13,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
14,security,Critical,Failed,,,S3,How do you manage permissions for people and machines?,"Identify and Secure S3 Buckets ACLs with FULL_CONTROL, READ, or READ_ACP Permissions to Public or ALL USERS","This check detects S3 buckets with ACLs that grant FULL_CONTROL, READ, or READ_ACP permissions to ALL USERS. The ALL USERS GROUP allows global access to the resource, potentially exposing sensitive data and enabling unauthorized modifications to the bucket. PERMISSION READ allows listing objects, reading object data, and metadata, while PERMISSION READ_ACP enables reading the bucket and object ACL. PERMISSION FULL_CONTROL grants extensive access. To safeguard data privacy, it is crucial to restrict these permissions to specific authorized principals and groups, avoiding grants to public or ALL USERS.",NonProd,,us-east-1
15,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
16,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
17,security,Critical,Error,,,CloudTrail,How do you detect and investigate security events?,CloudTrail Public Buckets,"Publicly accessible CloudTrail log buckets are a security risk. Ensure logs are not exposed to the public internet to protect against data breaches, tampering, and compliance violations. Secure CloudTrail logs for enhanced security posture.",NonProd,,us-east-1
18,security,Critical,Failed,,,CloudTrail,How do you detect and investigate security events?,CloudTrail Public Buckets,"Publicly accessible CloudTrail log buckets are a security risk. Ensure logs are not exposed to the public internet to protect against data breaches, tampering, and compliance violations. Secure CloudTrail logs for enhanced security posture.",NonProd,,us-east-1
19,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
20,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
21,security,Critical,Failed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Policy Should Not Allow Get Actions from All Principals,"This rule checks whether the S3 bucket policy allows get actions from all principals. Allowing unrestricted get actions from all principals can result in unauthorized access to sensitive data stored in the S3 bucket. S3 get actions allow the grantee to read the object data and its metadata. Allowing get actions from all principals without any restrictions can lead to data leaks and privacy violations. To prevent unauthorized access to sensitive data, it is recommended to restrict get actions to only authorized principals and implement appropriate access controls. This best practice helps ensure data confidentiality and prevents data breaches.",NonProd,,us-east-1
22,security,Critical,Failed,,,S3,How do you protect your compute resources?,Ensure Amazon S3 Buckets are Privately Configured with Block Public Access,"Take a proactive step to bolster your data security by confirming the activation of Amazon S3 Block Public Access configuration for your S3 buckets. This essential check ensures that your data remains private, reducing the likelihood of unauthorized access, fortifying overall data security, and mitigating potential business risks.",NonProd,,us-east-1
23,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
24,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
25,security,High,Failed,,,LoadBalancer,How do you protect your compute resources?,Ensure elastic load balancers are using secure listeners.,"Using HTTPS/TLS protocol connections for load balancers enhances data security, protects sensitive information, and ensures compliance with industry standards, reducing potential business risks.",NonProd,,us-east-1
26,security,High,Failed,,,Lambda,How do you protect your data at rest?,Enforce Customer-Managed Key Encryption for Lambda Environment Variables,"Enhance the security of AWS Lambda functions by ensuring that environment variables utilize customer-managed Customer Master Keys (CMKs) instead of AWS-managed keys. This practice offers more precise control over the encryption and decryption of data. This check identifies Lambda environment variables lacking CMK encryption, allowing you to address potential security gaps and maintain a robust encryption strategy.",NonProd,,us-east-1
27,security,High,Failed,,,LogMetricFilter,How do you detect and investigate security events?,Ensure a log metric filter and alarm exist for changes to network gateways,This rule checks whether a metric filter and alarm for changes to network gateways is present. Monitoring these changes helps ensure that all ingress and egress traffic traverses the VPC border via a controlled path.,NonProd,,us-east-1
28,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
29,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
30,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
31,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
32,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
33,security,High,Failed,,,Lambda,How do you protect your data at rest?,Enforce Customer-Managed Key Encryption for Lambda Environment Variables,"Enhance the security of AWS Lambda functions by ensuring that environment variables utilize customer-managed Customer Master Keys (CMKs) instead of AWS-managed keys. This practice offers more precise control over the encryption and decryption of data. This check identifies Lambda environment variables lacking CMK encryption, allowing you to address potential security gaps and maintain a robust encryption strategy.",NonProd,,us-east-1
34,security,High,Failed,,,GlueCrawlers,How do you protect your data at rest?,Enable Glue Crawler security configuration to encrypt CloudWatch logs,"Ensuring that CloudWatch Logs (CWL) encryption is enabled for crawlers is critical for safeguarding sensitive data collected and stored within log files. This check confirms whether encryption is activated for all CloudWatch Logs associated with crawlers, using either AWS managed-keys or customer-managed Customer Master Keys (CMKs).",NonProd,,us-east-1
35,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Security Groups accept global traffic only from ports 80 and 443,Restricting global access to EC2 instances' well-known ports (except for ports 80 and 443) enhances security by preventing unauthorized access to the instance.,Sandbox,,us-east-1
36,reliability,High,Failed,,,LoadBalancer,How do you monitor workload resources?,Enable Access logs when using ELBv2.,Ensure that your AWS Application and Network Load Balancers use access logging to analyze traffic patterns and identify and troubleshoot security issues.,NonProd,,us-east-1
37,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
38,security,High,Failed,,,LoadBalancer,How do you detect and investigate security events?,Enable Access logs when using ELBv2.,Ensure that your AWS Application and Network Load Balancers use access logging to analyze traffic patterns and identify and troubleshoot security issues.,NonProd,,us-east-1
39,security,High,Failed,,,IAMUser,How do you securely operate your workload?,Ensure Credentials (with First Activated AccessKey) Unused for 90 Days or Greater Are Disabled,"AWS IAM users access AWS resources using different types of credentials, such as passwords or access keys. It is recommended that all credentials that have been unused for 90 or greater days be removed or deactivated. Disabling or removing unnecessary password access to an account reduces the risk of credentials being misused and enhances security.",NonProd,,global
40,reliability,High,Failed,,,LogMetricFilter,How do you monitor workload resources?,Ensure a log metric filter and alarm exist for changes to network gateways,This rule checks whether a metric filter and alarm for changes to network gateways is present. Monitoring these changes helps ensure that all ingress and egress traffic traverses the VPC border via a controlled path.,NonProd,,us-east-1
41,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",Sandbox,,global
42,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict access to remote server ports (tcp3389 and tcp22),"For enhanced security, prevent external access to remote server ports (tcp3389 and tcp22) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",Sandbox,,us-east-1
43,reliability,High,Failed,,,LoadBalancer,How do you monitor workload resources?,Enable Access logs when using ELBv2.,Ensure that your AWS Application and Network Load Balancers use access logging to analyze traffic patterns and identify and troubleshoot security issues.,NonProd,,us-east-1
44,security,High,Failed,,,IAMUser,How do you securely operate your workload?,Ensure Credentials (with First Activated AccessKey) Unused for 90 Days or Greater Are Disabled,"AWS IAM users access AWS resources using different types of credentials, such as passwords or access keys. It is recommended that all credentials that have been unused for 90 or greater days be removed or deactivated. Disabling or removing unnecessary password access to an account reduces the risk of credentials being misused and enhances security.",NonProd,,global
45,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
46,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
47,security,High,Failed,,,Topic,How do you protect your data at rest?,SNS Topic Server Side Encryption (SSE).,Enabling Server-Side Encryption (SSE) for AWS Simple Notification Service (SNS) topics provides additional protection of sensitive data delivered as messages to subscribers by encrypting messages using a 256-bit AES-GCM algorithm. AWS SNS Server-Side Encryption works with both AWS-managed CMKs and customer-managed CMKs.,NonProd,,us-east-1
48,security,High,Failed,,,Topic,How do you manage permissions for people and machines?,Check for public SNS Topics,Identify any publicly accessible Amazon SNS topics in order to protect against attackers and unauthorized personnel.,NonProd,,us-east-1
49,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,"Identify security groups which allow all traffic from the internet, the best practice is to exercise principle of least privilege","Ensuring that security groups restrict all inbound public traffic minimizes the attack surface, reduces the risk of unauthorized access, and enhances the security of your cloud environment, leading to reduced business risks.",NonProd,,us-east-1
50,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict access to remote server ports (tcp3389 and tcp22),"For enhanced security, prevent external access to remote server ports (tcp3389 and tcp22) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",Sandbox,,us-east-1
51,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",Sandbox,,global
52,security,High,Failed,,,Topic,How do you manage permissions for people and machines?,Check for public SNS Topics,Identify any publicly accessible Amazon SNS topics in order to protect against attackers and unauthorized personnel.,NonProd,,us-east-1
53,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
54,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
55,security,High,Failed,,,Lambda,How do you protect your data at rest?,Enforce Customer-Managed Key Encryption for Lambda Environment Variables,"Enhance the security of AWS Lambda functions by ensuring that environment variables utilize customer-managed Customer Master Keys (CMKs) instead of AWS-managed keys. This practice offers more precise control over the encryption and decryption of data. This check identifies Lambda environment variables lacking CMK encryption, allowing you to address potential security gaps and maintain a robust encryption strategy.",NonProd,,us-east-1
56,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict access to RDP port (tcp3389),"For enhanced security, prevent external access to RDP (tcp3389) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",NonProd,,us-east-1
57,security,High,Failed,,,EKSCluster,How do you securely operate your workload?,Use AWS Managed kubernetes Service (EKS),"Using AWS Managed Kubernetes Service (EKS) simplifies the deployment, management, and scaling of Kubernetes clusters, ensuring high availability and reliability for containerized applications. It is recommended to leverage AWS EKS to accelerate the adoption of Kubernetes, optimize resource utilization, and enhance application scalability and resilience.",NonProd,,us-east-1
58,costOptimization,High,Failed,,,AuditManager,How do you evaluate the cost of effort?,Enable Audit Manager,"Ensure robust governance and compliance within your cloud environment by leveraging Audit Manager. This service enables you to automate evidence collection, streamline risk assessment, and simplify audit preparation. By centralizing audit processes, you can efficiently track compliance with industry standards and regulatory requirements. It is recommended to regularly scheduling audits, customizing controls to match your specific needs, and utilizing predefined frameworks to expedite assessments.",NonProd,,us-east-1
59,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
60,security,High,Failed,,,LoadBalancer,How do you protect your compute resources?,Ensure elastic load balancers are using secure listeners.,"Using HTTPS/TLS protocol connections for load balancers enhances data security, protects sensitive information, and ensures compliance with industry standards, reducing potential business risks.",NonProd,,us-east-1
61,security,High,Failed,,,LoadBalancer,How do you detect and investigate security events?,Enable Access logs when using ELBv2.,Ensure that your AWS Application and Network Load Balancers use access logging to analyze traffic patterns and identify and troubleshoot security issues.,NonProd,,us-east-1
62,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,"Identify security groups which allow all traffic from the internet, the best practice is to exercise principle of least privilege","Ensuring that security groups restrict all inbound public traffic minimizes the attack surface, reduces the risk of unauthorized access, and enhances the security of your cloud environment, leading to reduced business risks.",NonProd,,us-east-1
63,sustainability,High,Failed,,,ECSCluster,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use AWS Managed Fargate,"Using AWS Managed Fargate will provide a serverless compute engine for deploying and managing containers without the need to provision or manage servers. By leveraging Managed Fargate, you can focus on developing and running containerized applications without worrying about infrastructure management. It is recommended to use AWS Managed Fargate to simplify container orchestration and improve operational efficiency.",Sandbox,,us-east-1
64,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
65,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict access to remote server ports (tcp3389 and tcp22),"For enhanced security, prevent external access to remote server ports (tcp3389 and tcp22) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",Sandbox,,us-east-1
66,security,High,Failed,,,Lambda,How do you protect your data at rest?,Enforce Customer-Managed Key Encryption for Lambda Environment Variables,"Enhance the security of AWS Lambda functions by ensuring that environment variables utilize customer-managed Customer Master Keys (CMKs) instead of AWS-managed keys. This practice offers more precise control over the encryption and decryption of data. This check identifies Lambda environment variables lacking CMK encryption, allowing you to address potential security gaps and maintain a robust encryption strategy.",NonProd,,us-east-1
67,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict access to RDP port (tcp3389),"For enhanced security, prevent external access to RDP (tcp3389) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",Sandbox,,us-east-1
68,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",Sandbox,,global
69,security,High,Failed,,,IAMUser,How do you securely operate your workload?,Ensure Credentials (with Second Activated AccessKey) Unused for 90 Days or Greater Are Disabled,"AWS IAM users access AWS resources using different types of credentials, such as passwords or access keys. It is recommended that all credentials that have been unused for 90 or greater days be removed or deactivated. Disabling or removing unnecessary password access to an account reduces the risk of credentials being misused and enhances security.",NonProd,,global
70,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
71,security,High,Failed,,,Lambda,How do you protect your data at rest?,Enforce Customer-Managed Key Encryption for Lambda Environment Variables,"Enhance the security of AWS Lambda functions by ensuring that environment variables utilize customer-managed Customer Master Keys (CMKs) instead of AWS-managed keys. This practice offers more precise control over the encryption and decryption of data. This check identifies Lambda environment variables lacking CMK encryption, allowing you to address potential security gaps and maintain a robust encryption strategy.",NonProd,,us-east-1
72,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
73,reliability,High,Failed,,,InternetMonitor,How do you monitor workload resources?,Enable Amazon CloudWatch Internet Monitor,"Activate Amazon CloudWatch Internet Monitoring to gain insights into internet connectivity and performance metrics. This feature enables proactive monitoring of outbound traffic, helping to identify and troubleshoot connectivity issues promptly. It is recommended to enable this monitor to ensure reliable internet access for your AWS resources.",NonProd,,us-east-1
74,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Security Groups accept global traffic only from ports 80 and 443,Restricting global access to EC2 instances' well-known ports (except for ports 80 and 443) enhances security by preventing unauthorized access to the instance.,Sandbox,,us-east-1
75,security,High,Failed,,,Topic,How do you protect your data at rest?,SNS Topic Server Side Encryption (SSE).,Enabling Server-Side Encryption (SSE) for AWS Simple Notification Service (SNS) topics provides additional protection of sensitive data delivered as messages to subscribers by encrypting messages using a 256-bit AES-GCM algorithm. AWS SNS Server-Side Encryption works with both AWS-managed CMKs and customer-managed CMKs.,NonProd,,us-east-1
